target_url,source_list_oira
access-board.my.site.com,TRUE
act.eac.gov,TRUE
aidms.faa.gov,TRUE
airports-gis.faa.gov,TRUE
alaska.usgs.gov,TRUE
americorps.gov,TRUE
ams.usda.gov,TRUE
app.epa.gov,TRUE
app.wizehive.com,TRUE
apply.welcomecorps.org,TRUE
apply07.grants.gov,TRUE
apps.bea.gov,TRUE
apps.cbp.gov,TRUE
apps.deadiversion.usdoj.gov,TRUE
apps.fas.usda.gov,TRUE
apps.fs.usda.gov,TRUE
apps.usfa.fema.gov,TRUE
aqas.aphis.usda.gov,TRUE
arcg.is,TRUE
arlweb.msha.gov,TRUE
ask.fdic.gov,TRUE
asrs.arc.nasa.gov,TRUE
av-info.faa.gov,TRUE
awards.nfrmp.us,TRUE
awc.faa.gov,TRUE
bit.ly,TRUE
bsaefiling.fincen.treas.gov,TRUE
c3rs.arc.nasa.gov,TRUE
careeronestop.org,TRUE
cats.airports.faa.gov,TRUE
caweb.sba.gov,TRUE
cdfifund.gov,TRUE
cdx.epa.gov,TRUE
cdxnodengn.epa.gov,TRUE
cems.ams.usda.gov,TRUE
certify.sba.gov,TRUE
cisaecd.gov1.qualtrics.com,TRUE
cms.fmcsa.dot.gov,TRUE
community.fema.gov,TRUE
core.publish.no.irs.gov,TRUE
covid-relief-data.ed.gov,TRUE
crime-data-explorer.fr.cloud.gov,TRUE
crsresources.org,TRUE
cudiversity.ncua.gov,TRUE
cvpcorp-1115pmda.adobeconnect.com,TRUE
cwf.uvm.edu,TRUE
dataportal.dol.gov,TRUE
dcs.sc.egov.usda.gov,TRUE
ddp-preview.osha.gov,TRUE
deadiversion.usdoj.gov,TRUE
denebleo.sec.gov,TRUE
designee.faa.gov,TRUE
dhs.gov,TRUE
disasterassistance.gov,TRUE
docs.google.com,TRUE
dol-ncc.my.salesforce-sites.com,TRUE
dwneeds.epa.gov,TRUE
ecfr.gpoaccess.gov,TRUE
eclaimant.dol.gov,TRUE
edecs.fws.gov,TRUE
eeocdata.org,TRUE
efilingportal.pbgc.gov,TRUE
eforms.ams.usda.gov,TRUE
eforms.state.gov,TRUE
eformservice.faa.gov,TRUE
efs.uspto.gov,TRUE
egov.ice.gov,TRUE
egov.uscis.gov,TRUE
elibrary.ferc.gov,TRUE
eligcert.ed.gov,TRUE
emaps.ed.gov,TRUE
employees.faa.gov,TRUE
enforcement.trade.gov,TRUE
epas.uspto.gov,TRUE
epermits.aphis.usda.gov,TRUE
eservices.archives.gov,TRUE
estta.uspto.gov,TRUE
etas.uspto.gov,TRUE
eteas.uspto.gov,TRUE
ewell.bsee.gov,TRUE
exho.epa.gov,TRUE
extapps2.oge.gov,TRUE
ezaudit.ed.gov,TRUE
f7-form.azurewebsites.net,TRUE
faadronezone.faa.gov,TRUE
fafsa.gov,TRUE
famweb.nwcg.gov,TRUE
fbi.gov,TRUE
fdic-wwwdev.app.cloud.gov,TRUE
fdicnet.fdic.gov,TRUE
ferconline.ferc.gov,TRUE
files.peacecorps.gov,TRUE
forms.cbp.gov,TRUE
forms.documentservices.dla.mil,TRUE
forms.faa.gov,TRUE
forms.fbi.gov,TRUE
forms.federalreserveconsumerhelp.gov,TRUE
forms.office.com,TRUE
forms.sc.egov.usda.gov,TRUE
formsadmin.sc.egov.usda.gov,TRUE
fossil.energy.gov,TRUE
fprs.fns.usda.gov,TRUE
fprs.gov,TRUE
fprs.usda.fns.gov,TRUE
frbog.taleo.net,TRUE
freqcoord.ntia.doc.gov,TRUE
fvap.gov,TRUE
fwsepermits.servicenowservices.com,TRUE
gc859.pnnl.gov,TRUE
reporting.odp.dhs.gov,TRUE
grants.gov,TRUE
grants.imls.gov,TRUE
grants.ojp.usdoj.gov,TRUE
health.gov,TRUE
hepis.ed.gov,TRUE
home.treasury.gov,TRUE
sba.gov\content\intermediar,TRUE
safetydata.fra.dot.gov,TRUE
rrb.gov,TRUE
ttb.gov,TRUE
iaf-grants.my.site.com,TRUE
ifap.ed.gov,TRUE
img.exim.gov,TRUE
inivasions.si.edu,TRUE
inside.aphis.usda.gov,TRUE
integrity.gov,TRUE
iris.ed.gov,TRUE
irma.nps.gov,TRUE
j1visawaiverrecommendation.state.gov,TRUE
jag.navy.mil,TRUE
jstars.eshp.doj.gov,TRUE
justicegrants.usdoj.gov,TRUE
ksn2.faa.gov,TRUE
lakmshaegov01.msha.gov,TRUE
lawgs.aphis.usda.gov,TRUE
legacy-www.fws.doi.net,TRUE
li-public.fmcsa.dot.gov,TRUE
login.gov,TRUE
mailto:nfeatraining@atf.gov,TRUE
mbescbesval0.medicaid.gov,TRUE
medsun.fda.gov,TRUE
medxpress.faa.gov,TRUE
miforms.er.usgs.gov,TRUE
mpr.ams.usda.gov,TRUE
mscs.marad.dot.gov,TRUE
msix.ed.gov,TRUE
muskie.usm.maine.edu,TRUE
my.americorps.gov,TRUE
my.ttb.gov,TRUE
myttb.gov,TRUE
nationalservice.gov,TRUE
