Component,Site,URL
DOD,American Forces Network,myafn.dodlive.mil
DOD,American Forces Network Europe,www.afneurope.net
DOD,American Forces Network Pacific,www.afnpacific.net
DOD,Anti-Tamper Executive Agent,at.dod.mil/
DOD,Armed Forces Day,afd.defense.gov
DOD,Armed Forces Sports,armedforcessports.defense.gov/
DOD,ASD Legislative Affairs,la.defense.gov/
DOD,Basic Research | Research Directorate,basicresearch.defense.gov
DOD,Capstone,capstone.ndu.edu/
DOD,Center for Applied Strategic Learning,casl.ndu.edu/
DOD,Center for Complex Operations,cco.ndu.edu/
DOD,Center for Development of Security Excellence (DCSA/CDSE),www.cdse.edu/
DOD,Center for Joint and Strategic Logistics,cjsl.ndu.edu/
DOD,Center for the Study of Weapons of Mass Destruction,wmdcenter.ndu.edu
DOD,Chief Information Officer,dodcio.defense.gov/
DOD,Chief Management Officer,dam.defense.gov/
DOD,Cloud Computing Program Office,www.ccpo.mil
DOD,College for International Security Affairs,http://cisa.ndu.edu/
DOD,College of Information and Cyberspace,cic.ndu.edu/
DOD,Combating Trafficking in Persons,ctip.defense.gov/
DOD,Comptroller,comptroller.defense.gov/
DOD,Defense Advisory Committee on Women in the Services,dacowits.defense.gov/
DOD,Defense Business Board,dbb.defense.gov/
DOD,Defense Civilian Intelligence Personnel System,dcips.defense.gov/
DOD,Defense Contract Audit Agency,www.dcaa.mil
DOD,Defense Contract Management Agency,www.dcma.mil
DOD,Defense Counterintelligence and Security Agency,www.dcsa.mil
DOD,Defense Counterintelligence Security Service,www.dss.mil
DOD,Defense Equal Opportunity Management Institute,www.defenseculture.mil
DOD,Defense Finance Accounting Service,www.dfas.mil
DOD,Defense Imagery Management Operations Center,www.dimoc.mil
DOD,Defense Information School,www.dinfos.dma.mil/
DOD,Defense Innovation Board,innovation.defense.gov
DOD,Defense Intelligence Agency,www.dia.mil/
DOD,Defense Logistics Agency,www.dla.mil/
DOD,Defense Manpower Data Center (DMDC),www.dhra.mil
DOD,Defense Media Activity,www.dma.mil/
DOD,Defense Office of Hearings and Appeals,doha.ogc.osd.mil
DOD,Defense POW/MIA Accounting Agency,www.dpaa.mil/
DOD,Defense Privacy and Civil Liberties Division,dpcld.defense.gov/
DOD,Defense Standardization Program,www.dsp.dla.mil/
DOD,Defense Suicide Prevention Office,www.dspo.mil/
DOD,Defense Threat Reduction Agency,www.dtra.mil/
DOD,Defense Travel Management Office (DTMO),www.travel.dod.mil/
DOD,Department of Defense,www.defense.gov/
DOD,Department of Defense Cyber Crime Center (DC3),www.dc3.mil
DOD,Department of Defense Inspector General,www.dodig.mil
DOD,Department of Defense Standards of Conducts Office,dodsoco.ogc.osd.mil/
DOD,DIA Inspector General,oig.dia.mil
DOD,DINFOS Pavilion,pavilion.dinfos.edu
DOD,Director Operational Test and Evaluation (DOTE),www.dote.osd.mil
DOD,DOD Common Access Card,www.cac.mil
DOD,DOD MANTECH,www.dodmantech.mil
DOD,DOD NAF Accounting,www.dodnafaccounting.defense.gov
DOD,DOD Non-Lethal Weapons Program,jnlwp.defense.gov/
DOD,DOD Open Government,open.defense.gov/
DOD,DOD Readiness and Environmental Protection Initiative,www.repi.mil/
DOD,Enterprise Cloud,www.cloud.mil
DOD,Executive Services Directorate,www.esd.whs.mil
DOD,Human Capital Management Office,dodcertpmo.defense.gov
DOD,Innovative Readiness Training,irt.defense.gov/
