target_url,agency,bureau,branch,source_list_mil_1
myafn.dodlive.mil,Defense-wide,American Forces Network,Executive,TRUE
afneurope.net,Defense-wide,American Forces Network Europe,Executive,TRUE
afnpacific.net,Defense-wide,American Forces Network Pacific,Executive,TRUE
at.dod.mil,Defense-wide,Anti-Tamper Executive Agent,Executive,TRUE
afd.defense.gov,Defense-wide,Armed Forces Day,Executive,TRUE
armedforcessports.defense.gov,Defense-wide,Armed Forces Sports,Executive,TRUE
la.defense.gov,Defense-wide,ASD Legislative Affairs,Executive,TRUE
basicresearch.defense.gov,Defense-wide,Basic Research | Research Directorate,Executive,TRUE
capstone.ndu.edu,Defense-wide,Capstone,Executive,TRUE
casl.ndu.edu,Defense-wide,Center for Applied Strategic Learning,Executive,TRUE
cco.ndu.edu,Defense-wide,Center for Complex Operations,Executive,TRUE
cdse.edu,Defense-wide,Center for Development of Security Excellence (DCSA/CDSE),Executive,TRUE
cjsl.ndu.edu,Defense-wide,Center for Joint and Strategic Logistics,Executive,TRUE
wmdcenter.ndu.edu,Defense-wide,Center for the Study of Weapons of Mass Destruction,Executive,TRUE
dodcio.defense.gov,Defense-wide,Chief Information Officer,Executive,TRUE
dam.defense.gov,Defense-wide,Chief Management Officer,Executive,TRUE
ccpo.mil,Defense-wide,Cloud Computing Program Office,Executive,TRUE
cisa.ndu.edu,Defense-wide,College for International Security Affairs,Executive,TRUE
cic.ndu.edu,Defense-wide,College of Information and Cyberspace,Executive,TRUE
ctip.defense.gov,Defense-wide,Combating Trafficking in Persons,Executive,TRUE
comptroller.defense.gov,Defense-wide,Comptroller,Executive,TRUE
dacowits.defense.gov,Defense-wide,Defense Advisory Committee on Women in the Services,Executive,TRUE
dbb.defense.gov,Defense-wide,Defense Business Board,Executive,TRUE
dcips.defense.gov,Defense-wide,Defense Civilian Intelligence Personnel System,Executive,TRUE
dcaa.mil,Defense-wide,Defense Contract Audit Agency,Executive,TRUE
dcma.mil,Defense-wide,Defense Contract Management Agency,Executive,TRUE
dcsa.mil,Defense-wide,Defense Counterintelligence and Security Agency,Executive,TRUE
dss.mil,Defense-wide,Defense Counterintelligence Security Service,Executive,TRUE
defenseculture.mil,Defense-wide,Defense Equal Opportunity Management Institute,Executive,TRUE
dfas.mil,Defense-wide,Defense Finance Accounting Service,Executive,TRUE
dimoc.mil,Defense-wide,Defense Imagery Management Operations Center,Executive,TRUE
dinfos.dma.mil,Defense-wide,Defense Information School,Executive,TRUE
innovation.defense.gov,Defense-wide,Defense Innovation Board,Executive,TRUE
dia.mil,Defense-wide,Defense Intelligence Agency,Executive,TRUE
dla.mil,Defense-wide,Defense Logistics Agency,Executive,TRUE
dhra.mil,Defense-wide,Defense Manpower Data Center (DMDC),Executive,TRUE
dma.mil,Defense-wide,Defense Media Activity,Executive,TRUE
doha.ogc.osd.mil,Defense-wide,Defense Office of Hearings and Appeals,Executive,TRUE
dpaa.mil,Defense-wide,Defense POW/MIA Accounting Agency,Executive,TRUE
dpcld.defense.gov,Defense-wide,Defense Privacy and Civil Liberties Division,Executive,TRUE
dsp.dla.mil,Defense-wide,Defense Standardization Program,Executive,TRUE
dspo.mil,Defense-wide,Defense Suicide Prevention Office,Executive,TRUE
dtra.mil,Defense-wide,Defense Threat Reduction Agency,Executive,TRUE
travel.dod.mil,Defense-wide,Defense Travel Management Office (DTMO),Executive,TRUE
defense.gov,Defense-wide,Department of Defense,Executive,TRUE
dc3.mil,Defense-wide,Department of Defense Cyber Crime Center (DC3),Executive,TRUE
dodig.mil,Defense-wide,Department of Defense Inspector General,Executive,TRUE
dodsoco.ogc.osd.mil,Defense-wide,Department of Defense Standards of Conducts Office,Executive,TRUE
oig.dia.mil,Defense-wide,DIA Inspector General,Executive,TRUE
pavilion.dinfos.edu,Defense-wide,DINFOS Pavilion,Executive,TRUE
dote.osd.mil,Defense-wide,Director Operational Test and Evaluation (DOTE),Executive,TRUE
cac.mil,Defense-wide,DOD Common Access Card,Executive,TRUE
dodmantech.mil,Defense-wide,DOD MANTECH,Executive,TRUE
dodnafaccounting.defense.gov,Defense-wide,DOD NAF Accounting,Executive,TRUE
jnlwp.defense.gov,Defense-wide,DOD Non-Lethal Weapons Program,Executive,TRUE
open.defense.gov,Defense-wide,DOD Open Government,Executive,TRUE
repi.mil,Defense-wide,DOD Readiness and Environmental Protection Initiative,Executive,TRUE
cloud.mil,Defense-wide,Enterprise Cloud,Executive,TRUE
esd.whs.mil,Defense-wide,Executive Services Directorate,Executive,TRUE
dodcertpmo.defense.gov,Defense-wide,Human Capital Management Office,Executive,TRUE
irt.defense.gov,Defense-wide,Innovative Readiness Training,Executive,TRUE
inss.ndu.edu,Defense-wide,Institute for National Strategic Studies,Executive,TRUE
ismo.ndu.edu,Defense-wide,International Student Management Office,Executive,TRUE
jamrs.defense.gov,Defense-wide,Joint Advertising Market Research and Studies,Executive,TRUE
jecc.mil,Defense-wide,Joint Enabling Capabilities Command,Executive,TRUE
jfsc.ndu.edu,Defense-wide,Joint Forces Staff College,Executive,TRUE
keystone.ndu.edu,Defense-wide,Keystone,Executive,TRUE
businessdefense.gov,Defense-wide,Manufacturing and Industrial Base Policy,Executive,TRUE
metc.mil,Defense-wide,Medical Education and Training Campus,Executive,TRUE
valor.defense.gov,Defense-wide,Military Awards for Valor,Executive,TRUE
militarypay.defense.gov,Defense-wide,Military Pay,Executive,TRUE
minerva.defense.gov,Defense-wide,Minerva Research Initiative,Executive,TRUE
ndu.edu,Defense-wide,National Defense University,Executive,TRUE
ndupress.ndu.edu,Defense-wide,National Defense University Press,Executive,TRUE
airdomainintelligence.mil,Defense-wide,National Intelligence Manager for Aviation (NIM-A),Executive,TRUE
nro.gov,Defense-wide,National Reconnaissance Office,Executive,TRUE
nsa.gov,Defense-wide,National Security Agency,Executive,TRUE
oig.nsa.gov,Defense-wide,National Security Agency Inspector General,Executive,TRUE
nwc.ndu.edu,Defense-wide,National War College,Executive,TRUE
norad.mil,Defense-wide,North American Aerospace Defense Command,Executive,TRUE
dodsioo.defense.gov,Defense-wide,OASD for Intelligence Oversight,Executive,TRUE
diversity.defense.gov,Defense-wide,Office of Diversity Management and Equal Opportunity,Executive,TRUE
opa.defense.gov,Defense-wide,Office of People of Analytics (OPA),Executive,TRUE
business.defense.gov,Defense-wide,Office of Small Business Programs (Business.Defense),Executive,TRUE
actuary.defense.gov,Defense-wide,Office of the Actuary,Executive,TRUE
dodmwrandresalepolicy.defense.gov,Defense-wide,Office of the Deputy Assistant Secretary of Defense for Military Community & Family Policy (DoD MWR and Resale Policy),Executive,TRUE
ogc.osd.mil,Defense-wide,Office of the General Counsel,Executive,TRUE
ousdi.defense.gov,Defense-wide,Office of the Under Secretary of Defense for Intelligence,Executive,TRUE
data.defense.gov,Defense-wide,Open Data,Executive,TRUE
history.defense.gov,Defense-wide,OSD Historical Office,Executive,TRUE
dodcui.mil,Defense-wide,OUSD Information and Security Policy,Executive,TRUE
policy.defense.gov,Defense-wide,OUSD Policy,Executive,TRUE
pfpa.mil,Defense-wide,Pentagon Force Protection Agency,Executive,TRUE
prs.mil,Defense-wide,Periodic Review Secretariat,Executive,TRUE
pinnacle.ndu.edu,Defense-wide,Pinnacle,Executive,TRUE
purview.dodlive.mil,Defense-wide,Purview (was DoDLive),Executive,TRUE
rwtf.defense.gov,Defense-wide,Recovering Warrior Task Force,Executive,TRUE
rcnsc.ndu.edu,Defense-wide,Reserve Component National Security Course,Executive,TRUE
rfpb.defense.gov,Defense-wide,Reserve Forces Policy Board,Executive,TRUE
defensesbirsttr.mil,Defense-wide,Small Business Innovation Research,Executive,TRUE
sfb.dodlive.mil,Defense-wide,State Facility Boards,Executive,TRUE
tasa.dma.mil,Defense-wide,Television-Audio Support Activity,Executive,TRUE
test-evaluation.osd.mil,Defense-wide,Test and Evaluation Enterprise,Executive,TRUE
es.ndu.edu,Defense-wide,The Eisenhower School,Executive,TRUE
execsec.defense.gov,Defense-wide,The Executive Secretary,Executive,TRUE
usfj.mil,Defense-wide,U.S. Forces Japan,Executive,TRUE
usfk.mil,Defense-wide,U.S. Forces Korea,Executive,TRUE
prhome.defense.gov,Defense-wide,Under Secretary of Defense for Personnel and Readiness,Executive,TRUE
vwac.defense.gov,Defense-wide,Victim and Witness Assistance Council,Executive,TRUE
warriorcare.dodlive.mil,Defense-wide,Warrior Care,Executive,TRUE
whs.mil,Defense-wide,Washington Headquarters,Executive,TRUE
publicweb.dma.mil,Defense-wide,Web Enterprise Business (Web.mil),Executive,TRUE
whitehousecommsagency.mil,Defense-wide,White House Communications Agency,Executive,TRUE
alsa.mil,Joint,Air Land Sea Application Center,Executive,TRUE
inherentresolve.mil,Joint,Combined Joint Task Force - Operation Inherent Resolve,Executive,TRUE
jbab.jb.mil,Joint,Joint Base Anacostia-Bolling,Executive,TRUE
jba.af.mil,Joint,Joint Base Andrews,Executive,TRUE
jbcharleston.jb.mil,Joint,Joint Base Charleston,Executive,TRUE
jber.jb.mil,Joint,Joint Base Elmendorf-Richardson,Executive,TRUE
jble.af.mil,Joint,Joint Base Langley-Eustis,Executive,TRUE
jbmdl.jb.mil,Joint,Joint Base McGuire-Dix-Lakehurst,Executive,TRUE
jbsa.af.mil,Joint,Joint Base San Antonio,Executive,TRUE
jcs.mil,Joint,Joint Chiefs of Staff,Executive,TRUE
jcu.mil,Joint,Joint Communications Unit,Executive,TRUE
jiatfs.southcom.mil,Joint,Joint Interagency Task Force South,Executive,TRUE
jpra.mil,Joint,Joint Personnel Recovery Agency,Executive,TRUE
jsc.defense.gov,Joint,Joint Service Committee on Military Justice,Executive,TRUE
jtnc.mil,Joint,Joint Tactical Networking Center,Executive,TRUE
jtfcs.northcom.mil,Joint,Joint Task Force Civil Support,Executive,TRUE
jtfgtmo.southcom.mil,Joint,Joint Task Force Guantanamo,Executive,TRUE
jtfn.northcom.mil,Joint,Joint Task Force North,Executive,TRUE
jtfb.southcom.mil,Joint,Joint Task Force-Bravo,Executive,TRUE
jtf-spacedefense.mil,Joint,Joint Task Force-Space Defense,Executive,TRUE
jwac.mil,Joint,Joint Warfare Analysis Center,Executive,TRUE
plainsguardian.dodlive.mil,Joint,Plains Guardian,Executive,TRUE
centcom.mil,Joint,U.S. Central Command,Executive,TRUE
cybercom.mil,Joint,U.S. Cyber Command,Executive,TRUE
northcom.mil,Joint,U.S. Northern Command,Executive,TRUE
pacom.mil,Joint,U.S. Pacific Command,Executive,TRUE
southcom.mil,Joint,U.S. Southern Command,Executive,TRUE
spacecom.mil,Joint,U.S. Space Command,Executive,TRUE
stratcom.mil,Joint,U.S. Strategic Command,Executive,TRUE
unc.mil,Joint,United Forces Command,Executive,TRUE
101arw.ang.af.mil,Air Force,101st Air Refueling Wing*,Executive,TRUE
102iw.ang.af.mil,Air Force,102nd Intelligence Wing,Executive,TRUE
103aw.ang.af.mil,Air Force,103rd Airlift Wing,Executive,TRUE
104fw.ang.af.mil,Air Force,104th Fighter Wing,Executive,TRUE
105aw.ang.af.mil,Air Force,105th Airlift Wing,Executive,TRUE
106rqw.ang.af.mil,Air Force,106th Rescue Wing,Executive,TRUE
