target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_mil_1,source_list_mil_2,omb_idea_public,base_domain,top_level_domain
ucia.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,,true,false,false,false,false,false,false,false,false,false,false,,ucia.gov,gov
coldcaserecords.gov,Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,,true,false,false,false,false,false,false,false,false,false,false,,coldcaserecords.gov,gov
cftc.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,true,true,false,true,true,true,false,true,false,false,,cftc.gov,gov
devcftc.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,false,false,false,false,false,false,false,false,false,false,,devcftc.gov,gov
smartcheck.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,true,false,false,true,false,false,false,false,false,false,,smartcheck.gov,gov
whistleblower.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,true,true,false,true,false,true,false,false,false,false,,whistleblower.gov,gov
bcfp.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,bcfp.gov,gov
cfpa.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,true,false,false,false,false,false,false,,cfpa.gov,gov
cfpb.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,true,false,false,false,false,false,false,,cfpb.gov,gov
consumerbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,consumerbureau.gov,gov
consumerfinance.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,true,true,true,true,true,false,false,false,false,true,consumerfinance.gov,gov
consumerfinancialbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,consumerfinancialbureau.gov,gov
consumerfinancial.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,consumerfinancial.gov,gov
consumerfinancialprotectionbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,consumerfinancialprotectionbureau.gov,gov
consumerprotectionbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,consumerprotectionbureau.gov,gov
consumerprotection.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,,consumerprotection.gov,gov
mimm.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,true,true,false,false,false,false,false,false,true,mimm.gov,gov
anchorit.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,true,false,false,false,false,false,false,,anchorit.gov,gov
atvsafety.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,,atvsafety.gov,gov
cpsc.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,true,false,true,true,true,false,true,false,false,,cpsc.gov,gov
drywallresponse.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,,drywallresponse.gov,gov
poolsafely.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,true,false,true,false,true,false,false,false,false,,poolsafely.gov,gov
poolsafety.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,,poolsafety.gov,gov
recalls.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,true,true,true,false,false,false,false,,recalls.gov,gov
saferproduct.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,,saferproduct.gov,gov
saferproducts.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,true,true,false,false,false,false,false,,saferproducts.gov,gov
seguridadconsumidor.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,,seguridadconsumidor.gov,gov
acc.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,true,false,false,false,false,false,false,false,false,,acc.gov,gov
americanclimatecorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,,americanclimatecorps.gov,gov
americorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,true,false,false,true,false,false,true,false,false,,americorps.gov,gov
americorpsoig.gov,Executive,Corporation for National and Community Service,AmeriCorps Office of Inspector General,,true,false,false,false,false,false,false,false,false,false,false,,americorpsoig.gov,gov
ccc.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,,ccc.gov,gov
climatecore.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,,climatecore.gov,gov
climatecorp.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,,climatecorp.gov,gov
climatecorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,,climatecorps.gov,gov
cncs.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,true,false,false,false,false,false,false,,cncs.gov,gov
cncsoig.gov,Executive,Corporation for National and Community Service,"Corporation for National and Community Service, Office Of Inspector General,",,true,true,false,false,true,false,false,false,false,false,false,,cncsoig.gov,gov
cns.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,true,false,false,false,false,false,false,,cns.gov,gov
joinamericorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,,joinamericorps.gov,gov
mentor.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,,mentor.gov,gov
mlkday.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,,mlkday.gov,gov
nationalservice.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,true,true,true,false,true,false,false,,nationalservice.gov,gov
presidentialserviceawards.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,true,false,false,false,false,false,false,,presidentialserviceawards.gov,gov
serve.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,,serve.gov,gov
vistacampus.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,true,false,false,false,false,false,false,,vistacampus.gov,gov
volunteeringinamerica.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,,volunteeringinamerica.gov,gov
cigie.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,false,false,false,false,false,false,false,false,false,false,,cigie.gov,gov
ignet.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,true,false,false,true,true,true,false,false,false,false,,ignet.gov,gov
oversight.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,true,false,false,true,false,true,false,false,false,false,,oversight.gov,gov
pandemicoversight.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,false,false,false,true,false,false,false,false,false,false,,pandemicoversight.gov,gov
csosa.gov,Executive,DC Court Services and Offender Supervision Agency,Office of information Technology,,true,true,false,false,true,true,false,false,false,false,false,,csosa.gov,gov
pretrialservices.gov,Executive,DC Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,,true,true,false,false,false,false,false,false,false,false,false,,pretrialservices.gov,gov
psa.gov,Executive,DC Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,,true,true,false,false,true,true,false,false,false,false,false,,psa.gov,gov
dnfsb.gov,Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,,true,true,true,false,true,true,true,false,false,false,false,,dnfsb.gov,gov
dra.gov,Executive,Delta Regional Authority,Delta Regional Authority,,true,true,false,true,true,true,false,false,false,false,false,true,dra.gov,gov
denali.gov,Executive,Denali Commission,Denali Commission,,true,true,true,true,true,true,false,false,false,false,false,true,denali.gov,gov
2020census.gov,Executive,Department of Commerce,Census Bureau,,true,true,false,false,true,false,false,false,false,false,false,,2020census.gov,gov
ap.gov,Executive,Department of Commerce,TCD / BIS / Dept of Commerce,,true,true,false,false,false,false,false,false,true,false,false,,ap.gov,gov
aviationweather.gov,Executive,Department of Commerce,National Weather Service,,true,true,true,true,true,false,false,false,false,false,false,true,aviationweather.gov,gov
bea.gov,Executive,Department of Commerce,Bureau of Economic Analysis,,true,true,false,true,true,true,true,false,true,false,false,true,bea.gov,gov
bis.gov,Executive,Department of Commerce,Bureau of Industry and Security,,true,false,true,false,false,false,false,false,false,false,false,,bis.gov,gov
bldrdoc.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,,bldrdoc.gov,gov
buyusa.gov,Executive,Department of Commerce,International Trade Administration,,true,true,false,false,true,false,false,false,false,false,false,,buyusa.gov,gov
census.gov,Executive,Department of Commerce,Census Bureau,,true,true,true,true,true,true,true,false,true,false,false,true,census.gov,gov
chips.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,,chips.gov,gov
climate.gov,Executive,Department of Commerce,NWS/OPS33,,true,true,true,true,true,false,false,false,false,false,false,true,climate.gov,gov
commerce.gov,Executive,Department of Commerce,Department of Commerce,,true,true,true,true,true,true,true,false,false,false,false,true,commerce.gov,gov
cwc.gov,Executive,Department of Commerce,Bureau of Industry and Security,,true,true,false,true,true,false,false,false,true,false,false,true,cwc.gov,gov
dataprivacyframework.gov,Executive,Department of Commerce,International Trade Administration,,true,false,false,true,false,false,false,false,false,false,false,true,dataprivacyframework.gov,gov
dnsops.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,false,false,false,false,false,false,false,false,,dnsops.gov,gov
doc.gov,Executive,Department of Commerce,Office of the Chief Information Officer,,true,true,false,false,true,false,true,false,false,false,false,,doc.gov,gov
drought.gov,Executive,Department of Commerce,NOAA/NCDC,,true,true,true,true,true,false,false,false,false,false,false,true,drought.gov,gov
eda.gov,Executive,Department of Commerce,Economic Development Administration,,true,true,false,true,true,true,true,false,false,false,false,true,eda.gov,gov
edison.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,false,false,false,false,false,false,false,true,edison.gov,gov
export.gov,Executive,Department of Commerce,International Trade Administration,,true,true,false,false,true,true,false,false,false,false,false,,export.gov,gov
firstnet.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,true,true,true,true,false,false,false,false,false,false,true,firstnet.gov,gov
fishwatch.gov,Executive,Department of Commerce,NOAA Fisheries,,true,true,false,false,true,false,false,false,false,false,false,,fishwatch.gov,gov
goes-r.gov,Executive,Department of Commerce,NASA GSFC,,true,true,true,true,true,false,false,false,false,false,false,true,goes-r.gov,gov
gps.gov,Executive,Department of Commerce,National Executive Committee for Space-Based PNT,,true,true,true,false,true,false,false,false,false,false,false,,gps.gov,gov
heat.gov,Executive,Department of Commerce,NOAA Climate Program Office,,true,false,false,true,false,false,false,false,false,false,false,true,heat.gov,gov
hurricanes.gov,Executive,Department of Commerce,NOAA/National Hurricane Center,,true,true,false,false,false,false,false,false,false,false,false,,hurricanes.gov,gov
icams-portal.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,,true,false,false,true,false,false,false,false,false,false,false,true,icams-portal.gov,gov
icts.gov,Executive,Department of Commerce,Bureau of Industry and Security,,true,false,false,false,false,false,false,false,false,false,false,,icts.gov,gov
iedison.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,false,false,false,false,false,false,false,true,iedison.gov,gov
internet4all.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,false,false,true,false,false,false,false,false,false,false,false,internet4all.gov,gov
internetforall.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,false,true,true,false,false,false,false,false,false,false,true,internetforall.gov,gov
luca-appeals.gov,Executive,Department of Commerce,Census Bureau,,true,true,false,false,false,false,false,false,false,false,false,,luca-appeals.gov,gov
manufacturing.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,true,true,true,false,false,false,false,false,false,true,manufacturing.gov,gov
marinecadastre.gov,Executive,Department of Commerce,NOAA Coastal Services Center,,true,true,true,true,true,false,false,false,false,false,false,true,marinecadastre.gov,gov
mbda.gov,Executive,Department of Commerce,Minority Business Development Agency,,true,true,true,true,true,true,true,false,false,false,false,true,mbda.gov,gov
mgi.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,true,false,false,false,false,false,false,true,mgi.gov,gov
my2020census.gov,Executive,Department of Commerce,Census Bureau,,true,false,false,false,false,false,false,false,false,false,false,,my2020census.gov,gov
nehrp.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,true,false,false,false,false,false,false,true,nehrp.gov,gov
nist.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,true,true,true,true,true,false,false,false,false,true,nist.gov,gov
noaa.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,true,true,true,true,true,true,false,false,false,false,true,noaa.gov,gov
ntia.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,true,true,true,false,false,false,false,false,false,false,true,ntia.gov,gov
ntis.gov,Executive,Department of Commerce,National Technical Information Service,,true,true,false,true,true,true,true,false,false,false,false,true,ntis.gov,gov
nwirp.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,,nwirp.gov,gov
ofcm.gov,Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,,true,true,false,false,true,false,false,false,false,false,false,,ofcm.gov,gov
papahanaumokuakea.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,true,true,true,true,false,false,false,false,false,false,true,papahanaumokuakea.gov,gov
privacyshield.gov,Executive,Department of Commerce,International Trade Administration,,true,true,true,false,false,false,false,false,false,false,false,,privacyshield.gov,gov
pscr.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,false,true,false,false,false,false,false,false,,pscr.gov,gov
sdr.gov,Executive,Department of Commerce,National Science and Technology Council,,true,true,true,true,true,false,false,false,false,false,false,true,sdr.gov,gov
selectusa.gov,Executive,Department of Commerce,International Trade Administration,,true,true,false,false,true,false,false,false,false,false,false,,selectusa.gov,gov
semiconductors.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,,semiconductors.gov,gov
spaceweather.gov,Executive,Department of Commerce,Space Environment Center W/NP9,,true,true,false,true,false,false,false,false,false,false,false,true,spaceweather.gov,gov
spd15revision.gov,Executive,Department of Commerce,Census Bureau,,true,false,true,true,false,false,false,false,false,false,false,true,spd15revision.gov,gov
spectrum.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,true,false,false,false,false,false,false,false,false,false,,spectrum.gov,gov
standards.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,false,true,false,false,false,false,false,false,,standards.gov,gov
stopfakes.gov,Executive,Department of Commerce,International Trade Administration,,true,true,true,true,true,false,false,false,false,false,false,true,stopfakes.gov,gov
sworm.gov,Executive,Department of Commerce,NOAA/Space Weather Prediction Center,,true,true,false,true,true,false,false,false,false,false,false,true,sworm.gov,gov
tasefiling.gov,Executive,Department of Commerce,International Trade Administration,,true,false,false,true,false,false,false,false,false,false,false,true,tasefiling.gov,gov
techhubs.gov,Executive,Department of Commerce,Department of Commerce,,true,false,false,false,false,false,false,false,false,false,false,,techhubs.gov,gov
time.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,true,true,true,false,false,false,false,false,false,true,time.gov,gov
tracss.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,false,false,false,false,false,false,false,false,false,false,,tracss.gov,gov
trade.gov,Executive,Department of Commerce,International Trade Administration,,true,true,true,true,true,true,true,false,true,false,false,true,trade.gov,gov
tsunami.gov,Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,,true,true,false,true,true,false,false,false,false,false,false,true,tsunami.gov,gov
usicecenter.gov,Executive,Department of Commerce,U. S. National Ice Center,,true,false,true,true,false,false,false,false,false,false,false,true,usicecenter.gov,gov
uspto.gov,Executive,Department of Commerce,USPTO,,true,true,true,true,true,true,true,false,true,false,false,true,uspto.gov,gov
weather.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,true,true,true,true,true,true,false,false,false,false,true,weather.gov,gov
wwtg.gov,Executive,Department of Commerce,International Trade Administration,,true,false,false,true,false,false,false,false,false,false,false,true,wwtg.gov,gov
xd.gov,Executive,Department of Commerce,Census Bureau,,true,true,true,true,false,false,false,false,false,false,false,true,xd.gov,gov
adlnet.gov,Executive,Department of Defense,Advanced Distributed Learning Initiative,,true,true,true,true,true,false,false,false,false,false,false,true,adlnet.gov,gov
aftac.gov,Executive,Department of Defense,Air Force Technical Applications Center,,true,false,false,false,false,false,false,false,false,false,false,,aftac.gov,gov
altusandc.gov,Executive,Department of Defense,Air Force Technical Applications Center,,true,false,false,false,false,false,false,false,false,false,false,,altusandc.gov,gov
blueroof.gov,Executive,Department of Defense,U.S. Army Corps of Engineers,,true,false,false,false,false,false,false,false,false,false,false,,blueroof.gov,gov
businessdefense.gov,Executive,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",,true,true,true,true,true,false,false,false,false,true,false,true,businessdefense.gov,gov
cap.gov,Executive,Department of Defense,Civil Air Patrol HQ,,true,true,false,false,false,false,false,false,false,false,false,,cap.gov,gov
capnhq.gov,Executive,Department of Defense,Civil Air Patrol HQ,,true,true,false,true,false,false,false,false,false,false,false,true,capnhq.gov,gov
cmts.gov,Executive,Department of Defense,US Army Corps of Engineers,,true,true,true,true,true,false,false,false,false,false,false,true,cmts.gov,gov
cnss.gov,Executive,Department of Defense,CNSS Secretariat,,true,true,false,true,true,false,false,false,false,false,false,true,cnss.gov,gov
ctoc.gov,Executive,Department of Defense,MCTFT,,true,true,false,false,false,false,false,false,false,false,false,,ctoc.gov,gov
cttso.gov,Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,true,true,false,true,true,false,false,false,false,false,false,true,cttso.gov,gov
dc3on.gov,Executive,Department of Defense,Defense Cyber Crime Center,,true,false,false,false,false,false,false,false,false,false,false,,dc3on.gov,gov
defense.gov,Executive,Department of Defense,Defense Media Activity,,true,true,true,true,true,true,true,false,false,true,false,true,defense.gov,gov
doddns.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,,doddns.gov,gov
ecs.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,,ecs.gov,gov
ehr.gov,Executive,Department of Defense,Federal Electronic Health Record Modernization,,true,false,false,false,false,false,false,false,false,false,false,,ehr.gov,gov
fehrm.gov,Executive,Department of Defense,FEHRM,,true,false,true,true,false,false,false,false,false,false,false,true,fehrm.gov,gov
fvap.gov,Executive,Department of Defense,Federal Voting Assistance Program,,true,true,false,true,true,true,false,false,true,false,false,true,fvap.gov,gov
hive.gov,Executive,Department of Defense,PEO DHMS,,true,false,false,true,false,false,false,false,false,false,false,true,hive.gov,gov
iad.gov,Executive,Department of Defense,National Security Agency,,true,true,false,true,true,false,false,false,false,false,false,true,iad.gov,gov
intelligencecareers.gov,Executive,Department of Defense,National Security Agency,,true,true,true,true,true,false,false,false,false,false,false,true,intelligencecareers.gov,gov
ioss.gov,Executive,Department of Defense,Interagency OPSEC Support Staff,,true,true,false,false,false,false,false,false,false,false,false,,ioss.gov,gov
itc.gov,Executive,Department of Defense,Interagency Training Center,,true,false,false,false,false,false,false,false,false,false,false,,itc.gov,gov
iwtsd.gov,Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,true,false,false,true,false,false,false,false,false,false,false,true,iwtsd.gov,gov
jccs.gov,Executive,Department of Defense,Defense Logistics Agency,,true,true,false,true,true,false,false,false,false,false,false,true,jccs.gov,gov
lps.gov,Executive,Department of Defense,"National Security Agency, Laboratory for Physical Sciences",,true,true,false,true,false,false,false,false,false,false,false,true,lps.gov,gov
mds.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,,mds.gov,gov
mtmc.gov,Executive,Department of Defense,Department of Defense,,true,false,false,false,false,false,false,false,false,false,false,,mtmc.gov,gov
mypay.gov,Executive,Department of Defense,Defense Finance and Accounting Service,,true,false,false,false,false,false,false,false,false,false,false,,mypay.gov,gov
nationalresourcedirectory.gov,Executive,Department of Defense,Office of Warrior Care Policy,,true,true,true,true,true,false,false,false,false,false,false,true,nationalresourcedirectory.gov,gov
nbib.gov,Executive,Department of Defense,Defense Counterintelligence and Security Agency,,true,true,false,false,true,false,false,false,false,false,false,,nbib.gov,gov
nrd.gov,Executive,Department of Defense,Office of Warrior Care Policy,,true,true,true,true,true,false,false,false,false,false,false,true,nrd.gov,gov
nro.gov,Executive,Department of Defense,NRO,,true,true,true,true,true,true,false,false,false,true,true,true,nro.gov,gov
nsa.gov,Executive,Department of Defense,National Security Agency,,true,true,true,true,true,true,true,false,false,true,true,true,nsa.gov,gov
nsep.gov,Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,,true,true,false,false,true,false,false,false,false,false,false,,nsep.gov,gov
oea.gov,Executive,Department of Defense,Office of Economic Adjustment,,true,true,false,false,true,false,true,false,false,false,false,,oea.gov,gov
oldcc.gov,Executive,Department of Defense,Office of Local Defense Community Cooperation,,true,false,false,true,false,true,false,false,false,false,false,true,oldcc.gov,gov
oneaftac.gov,Executive,Department of Defense,Air Force Technical Applications Center,,true,false,false,false,false,false,false,false,false,false,false,,oneaftac.gov,gov
tak.gov,Executive,Department of Defense,TAK Product Center,,true,false,false,true,false,false,false,false,false,false,false,true,tak.gov,gov
tswg.gov,Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,true,true,false,true,true,false,false,false,false,false,false,true,tswg.gov,gov
ukraineoversight.gov,Executive,Department of Defense,Department of Defense Office of Inspector General,,true,false,true,false,false,false,false,false,false,false,false,,ukraineoversight.gov,gov
usandc.gov,Executive,Department of Defense,AFTAC/LSCSS,,true,false,false,false,false,false,false,false,false,false,false,,usandc.gov,gov
usgovdod.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,,usgovdod.gov,gov
budgetlob.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,false,false,true,false,false,false,false,false,false,,budgetlob.gov,gov
childstats.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,false,false,false,false,false,false,true,childstats.gov,gov
collegenavigator.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,false,false,true,false,false,false,false,false,false,,collegenavigator.gov,gov
ed.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,true,true,false,true,false,false,true,ed.gov,gov
fafsa.gov,Executive,Department of Education,Department of Education,,true,true,false,false,true,false,false,false,true,false,false,,fafsa.gov,gov
g5.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,false,true,true,false,false,false,true,false,false,true,g5.gov,gov
nagb.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,false,false,false,false,false,false,true,nagb.gov,gov
nationsreportcard.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,false,false,false,false,false,false,true,nationsreportcard.gov,gov
studentaid.gov,Executive,Department of Education,Department of Education,,true,true,true,true,true,true,false,false,true,false,false,true,studentaid.gov,gov
studentloans.gov,Executive,Department of Education,Department of Education,,true,true,false,false,true,false,false,false,false,false,false,,studentloans.gov,gov
ameslab.gov,Executive,Department of Energy,Ames Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true,ameslab.gov,gov
anl.gov,Executive,Department of Energy,Argonne National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true,anl.gov,gov
arm.gov,Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,,true,true,false,true,true,false,false,false,false,false,false,true,arm.gov,gov
biomassboard.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,true,true,true,true,true,false,false,false,false,false,false,true,biomassboard.gov,gov
bnl.gov,Executive,Department of Energy,Brookhaven National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true,bnl.gov,gov
bpa.gov,Executive,Department of Energy,Bonneville Power Administration,,true,true,true,true,true,true,false,false,false,false,false,true,bpa.gov,gov
buildingamerica.gov,Executive,Department of Energy,Department of Energy,,true,true,false,false,false,false,false,false,false,false,false,,buildingamerica.gov,gov
